arrest_date,arrest_time,sex,race,searched,reason_stopped,search_based_on,search_found,race_known,lng,lat
2018-03-26,1970-01-01 00:00:00.000002010,F,WHITE,YES,Violation of law other than traffic,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,-97.75382505089614,30.260240379310293
2018-12-04,1970-01-01 00:00:00.000001032,M,BLACK,NO,Moving Traffic Violation,not_listed,not_listed,not_listed,-97.74227319850607,30.276663353305757
2018-01-22,1970-01-01 00:00:00.000000930,F,BLACK,NO,Moving Traffic Violation,not_listed,not_listed,not_listed,-97.69470345223,30.34828335343242
2018-12-23,1970-01-01 00:00:00.000000906,M,BLACK,YES,Moving Traffic Violation,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,-97.72329581289749,30.227649291441498
2018-01-07,1970-01-01 00:00:00.000001017,M,BLACK,NO,Moving Traffic Violation,not_listed,not_listed,not_listed,-97.70140701461798,30.32784004184038
2018-02-02,1970-01-01 00:00:00.000002359,M,HISPANIC OR LATINO,YES,Moving Traffic Violation,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,-97.75207277882394,30.242946748384902
2018-12-18,1970-01-01 00:00:00.000001841,M,BLACK,YES,Moving Traffic Violation,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,-97.77887455687046,30.19301306269721
2018-11-30,1970-01-01 00:00:00.000000255,M,HISPANIC OR LATINO,YES,Moving Traffic Violation,INCIDENTAL TO ARREST,OTHER,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,-97.74281446333511,30.268065724700683
2018-12-15,1970-01-01 00:00:00.000000038,M,BLACK,YES,Violation of law other than traffic,INCIDENTAL TO ARREST,CASH,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,-97.73655309933983,30.213066956283914
2018-03-04,1970-01-01 00:00:00.000000207,F,BLACK,YES,Moving Traffic Violation,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,-97.70701401008623,30.32615352688017
2018-12-15,1970-01-01 00:00:00.000000752,M,BLACK,YES,Violation of law other than traffic,INCIDENTAL TO ARREST,DRUGS,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,-97.85375846788487,30.206289318852093
2018-09-28,1970-01-01 00:00:00.000002113,M,HISPANIC OR LATINO,YES,Moving Traffic Violation,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,-97.67768777905879,30.325670444968683
2018-01-11,1970-01-01 00:00:00.000002243,M,BLACK,YES,Moving Traffic Violation,INCIDENTAL TO ARREST,CASH,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,-97.69153573103162,30.360198810066542
